flight_id,airline,origin,destination,departure_time,scheduled_arrival,actual_arrival,flight_duration_minutes,status,delay_minutes,cancellation_reason,passenger_count,fuel_consumption_kg
LA4258,Lufthansa,DFW,SFO,2025-05-06 09:08:58.143688,2025-05-06 11:57:58.143688,2025-05-06 15:12:58.143688,169,diverted,0,,73,26210
LH4597,Lufthansa,DFW,JFK,2025-05-01 14:12:42.162534,2025-05-01 15:47:42.162534,,95,canceled,0,air_traffic,0,0
LH9661,Delta,LHR,DFW,2025-05-01 06:22:05.318061,2025-05-01 13:28:05.318061,2025-05-01 13:32:05.318061,426,on_time,0,,229,7418
AA522,Emirates,DFW,SFO,2025-05-04 18:41:02.997182,2025-05-04 22:28:02.997182,2025-05-04 22:23:02.997182,227,on_time,0,,212,17370
UA3505,Delta,LHR,ORD,2025-05-05 02:17:32.303371,2025-05-05 08:51:32.303371,2025-05-05 09:04:32.303371,394,on_time,0,,152,17549
LH1067,Latam,ATL,LHR,2025-05-01 20:26:17.065135,2025-05-02 04:07:17.065135,2025-05-02 10:57:17.065135,461,delayed,410,,102,5064
DL4960,American,GRU,ORD,2025-05-02 23:58:12.941487,2025-05-03 07:07:12.941487,2025-05-03 07:21:12.941487,-429,on_time,0,,178,11351
EK8206,Latam,LHR,SFO,2025-05-07 21:56:21.870594,2025-05-08 06:16:21.870594,2025-05-08 09:59:21.870594,500,delayed,223,,226,6057
EK8004,American,ORD,JFK,2025-05-02 01:55:21.582741,2025-05-02 05:33:21.582741,2025-05-02 05:40:21.582741,218,on_time,0,,234,25856
EK2332,Delta,LAX,LHR,2025-05-05 00:32:02.265131,2025-05-05 05:42:02.265131,2025-05-05 05:48:02.265131,310,on_time,0,,247,16379
UA6764,United,ORD,ATL,2025-05-07 12:17:32.039338,2025-05-07 20:41:32.039338,2025-05-07 20:48:32.039338,504,on_time,0,,283,14331
LA7211,Lufthansa,JFK,GRU,2025-05-05 07:01:41.441875,2025-05-05 15:35:41.441875,2025-05-05 15:38:41.441875,514,on_time,0,,123,6163
LH4403,American,ORD,LHR,2025-05-06 00:14:17.688760,2025-05-06 07:00:17.688760,2025-05-06 07:21:17.688760,406,delayed,21,,239,28752
LA4528,Latam,INVALID,LAX,2025-05-03 04:57:25.502134,2025-05-03 12:30:25.502134,2025-05-03 12:45:25.502134,453,on_time,0,,148,28656
DL3250,Lufthansa,LHR,ATL,2025-05-07 15:13:34.258129,2025-05-07 15:43:34.258129,2025-05-07 15:51:34.258129,30,on_time,0,,111,14361
LH9344,American,JFK,LHR,2025-05-04 23:57:00.858044,2025-05-05 08:06:00.858044,,489,canceled,0,mechanical,0,0
AA4616,Emirates,LAX,SFO,2025-05-04 15:04:47.334949,2025-05-05 00:04:47.334949,2025-05-05 00:11:47.334949,540,on_time,0,,217,29401
DL3956,Delta,INVALID,DFW,2025-05-04 22:00:27.182870,2025-05-05 01:30:27.182870,2025-05-05 01:36:27.182870,210,on_time,0,,109,29504
UA6152,Emirates,SFO,CDG,2025-05-07 09:03:53.897286,2025-05-07 13:53:53.897286,2025-05-07 13:59:53.897286,290,on_time,0,,284,29504
LA3613,Latam,ORD,SFO,2025-05-04 10:19:25.544480,2025-05-04 20:09:25.544480,2025-05-04 20:24:25.544480,590,on_time,0,,268,25780
LH1968,United,GRU,ATL,2025-05-05 14:38:16.530625,2025-05-05 20:25:16.530625,2025-05-05 20:38:16.530625,347,on_time,0,,217,10361
AA2152,Delta,JFK,ATL,2025-05-06 08:56:08.934498,2025-05-06 20:48:08.934498,2025-05-06 20:44:08.934498,712,on_time,0,,269,23224
AA6893,Delta,GRU,SFO,2025-05-06 03:07:32.663982,2025-05-06 12:15:32.663982,2025-05-06 12:25:32.663982,548,on_time,0,,92,8420
AA5686,American,DFW,SFO,2025-05-03 06:17:22.869443,2025-05-03 18:00:22.869443,2025-05-03 18:07:22.869443,703,on_time,0,,299,9073
LA2413,Emirates,LAX,CDG,2025-05-04 08:58:58.292413,2025-05-04 14:41:58.292413,2025-05-04 14:43:58.292413,343,on_time,0,,156,20802
UA861,Emirates,CDG,ATL,2025-05-07 03:25:59.348820,2025-05-07 10:26:59.348820,,421,canceled,0,weather,0,0
EK1405,Latam,ORD,LAX,2025-05-04 23:13:21.351334,2025-05-05 07:32:21.351334,2025-05-05 07:35:21.351334,499,on_time,0,,253,22060
LH9845,United,DFW,GRU,2025-05-04 03:48:35.504105,2025-05-04 11:01:35.504105,2025-05-04 10:56:35.504105,433,on_time,0,,130,18875
DL4438,Delta,GRU,LHR,2025-05-05 06:42:04.644007,2025-05-05 13:53:04.644007,2025-05-05 13:48:04.644007,431,on_time,0,,93,26245
EK1173,American,LHR,GRU,2025-05-04 20:45:44.341271,2025-05-05 04:06:44.341271,2025-05-05 04:17:44.341271,441,on_time,0,,273,5980
LA8960,Delta,DFW,LHR,2025-05-07 07:18:42.685959,2025-05-07 14:13:42.685959,2025-05-07 14:08:42.685959,415,on_time,0,,145,9019
UA8672,Lufthansa,LAX,ORD,2025-05-01 20:39:52.710427,2025-05-02 06:33:52.710427,2025-05-02 06:31:52.710427,594,on_time,0,,262,9553
LA3288,Latam,SFO,ATL,2025-05-06 12:56:23.504548,2025-05-06 15:22:23.504548,2025-05-06 15:20:23.504548,146,on_time,0,,73,6973
UA4136,Latam,LAX,GRU,2025-05-06 19:39:47.319927,2025-05-06 22:25:47.319927,2025-05-06 22:29:47.319927,166,on_time,0,,275,14880
LA8569,Latam,ORD,GRU,2025-05-02 04:29:00.029427,2025-05-02 11:05:00.029427,2025-05-02 11:04:00.029427,396,on_time,0,,237,11308
AA2756,United,DFW,LHR,2025-05-08 07:34:19.230083,2025-05-08 17:48:19.230083,2025-05-08 17:44:19.230083,614,on_time,0,,239,27483
DL4082,United,LHR,JFK,2025-05-05 16:02:39.211999,2025-05-06 01:08:39.211999,2025-05-06 01:06:39.211999,546,on_time,0,,218,21470
AA3323,American,ORD,GRU,2025-05-01 08:41:23.060109,2025-05-01 18:03:23.060109,2025-05-01 18:18:23.060109,562,on_time,0,,262,15654
LA1267,Latam,CDG,LHR,2025-05-07 20:43:45.253366,2025-05-08 05:30:45.253366,2025-05-08 05:25:45.253366,527,on_time,0,,101,16170
EK1017,Emirates,LAX,JFK,2025-05-07 11:23:24.284833,2025-05-07 19:22:24.284833,2025-05-07 19:33:24.284833,479,on_time,0,,177,9047
DL3514,Delta,LHR,CDG,2025-05-05 07:02:22.607296,2025-05-05 11:40:22.607296,2025-05-05 11:40:22.607296,278,overbooked,0,,134,20850
LH2523,Lufthansa,ATL,DFW,2025-05-04 11:55:51.378751,2025-05-04 13:58:51.378751,2025-05-04 15:15:51.378751,123,diverted,0,,220,29750
LH9918,Latam,CDG,LHR,2025-05-01 02:28:28.169592,2025-05-01 04:39:28.169592,,131,canceled,0,mechanical,0,0
DL4030,United,LAX,SFO,2025-05-04 01:17:18.976085,2025-05-04 03:25:18.976085,2025-05-04 03:27:18.976085,128,on_time,0,,174,7938
EK3933,American,SFO,LAX,2025-05-02 17:16:24.700043,2025-05-03 03:09:24.700043,2025-05-03 03:09:24.700043,593,overbooked,0,,169,12262
LA7816,Latam,LHR,DFW,2025-05-03 10:06:57.144442,2025-05-03 19:01:57.144442,2025-05-03 18:56:57.144442,535,on_time,0,,208,28572
LH1128,American,GRU,CDG,2025-05-01 19:56:46.573898,2025-05-02 05:22:46.573898,2025-05-02 05:30:46.573898,566,on_time,0,,141,27176
UA1693,American,JFK,ORD,2025-05-06 13:36:21.904230,2025-05-06 23:26:21.904230,2025-05-06 23:26:21.904230,590,on_time,0,,187,10810
LH5190,Latam,ATL,GRU,2025-05-01 06:29:24.944318,2025-05-01 17:42:24.944318,2025-05-01 17:54:24.944318,673,on_time,0,,104,11923
UA5699,Emirates,JFK,GRU,2025-05-04 22:27:52.348795,2025-05-05 03:30:52.348795,2025-05-05 07:12:52.348795,303,delayed,222,,84,17804
UA1841,Emirates,LHR,ATL,2025-05-01 05:06:14.919274,2025-05-01 11:59:14.919274,2025-05-01 12:10:14.919274,413,on_time,0,,272,26399
DL3776,American,ATL,DFW,2025-05-08 02:33:53.777449,2025-05-08 14:33:53.777449,2025-05-08 14:28:53.777449,720,on_time,0,,279,13240
LA7584,Emirates,LAX,CDG,2025-05-03 18:02:43.049249,2025-05-04 04:56:43.049249,,654,canceled,0,crew,0,0
AA4557,Emirates,ATL,GRU,2025-05-04 03:53:38.260978,2025-05-04 04:23:38.260978,2025-05-04 04:25:38.260978,30,on_time,0,,179,16403
EK5457,United,JFK,LAX,2025-05-02 01:00:11.407579,2025-05-02 06:02:11.407579,2025-05-02 06:02:11.407579,-302,overbooked,0,,286,16098
DL4118,Emirates,SFO,ORD,2025-05-01 12:48:52.278859,2025-05-01 23:27:52.278859,2025-05-01 23:31:52.278859,639,on_time,0,,168,8155
LA3768,Emirates,ATL,JFK,2025-05-07 11:13:33.860095,2025-05-07 22:15:33.860095,2025-05-07 22:16:33.860095,662,on_time,0,,188,8244
LA3651,Emirates,JFK,GRU,2025-05-08 06:52:33.988425,2025-05-08 18:52:33.988425,2025-05-09 02:14:33.988425,720,delayed,442,,272,22822
DL7373,American,LAX,JFK,2025-05-07 03:09:52.680594,2025-05-07 04:23:52.680594,2025-05-07 04:28:52.680594,74,on_time,0,,224,25855
UA7830,Delta,DFW,JFK,2025-05-03 03:11:36.306874,2025-05-03 07:20:36.306874,2025-05-03 07:30:36.306874,249,on_time,0,,72,9879
AA7000,Lufthansa,GRU,LAX,2025-05-08 04:10:06.970613,2025-05-08 07:09:06.970613,2025-05-08 07:20:06.970613,179,on_time,0,,164,5700
LH5333,Latam,CDG,GRU,2025-05-05 23:52:09.864477,2025-05-06 02:39:09.864477,2025-05-06 02:39:09.864477,167,overbooked,0,,208,13212
UA2964,United,GRU,ORD,2025-05-03 21:32:27.843199,2025-05-04 05:39:27.843199,2025-05-04 05:46:27.843199,487,on_time,0,,125,29212
AA1762,Delta,LAX,ATL,2025-05-05 04:41:08.677897,2025-05-05 10:02:08.677897,2025-05-05 10:10:08.677897,321,on_time,0,,66,24453
LH5993,Latam,LAX,ORD,2025-05-05 19:26:16.609574,2025-05-06 00:58:16.609574,2025-05-06 03:51:16.609574,332,delayed,173,,138,18948
AA6197,Emirates,ATL,CDG,2025-05-04 20:50:40.981421,2025-05-05 03:25:40.981421,2025-05-05 03:20:40.981421,395,on_time,0,,78,7235
UA6657,United,CDG,ORD,2025-05-03 02:02:33.591085,2025-05-03 03:04:33.591085,2025-05-03 03:19:33.591085,62,on_time,0,,80,19919
LH5483,Emirates,LHR,LAX,2025-05-03 02:53:46.948888,2025-05-03 07:54:46.948888,2025-05-03 08:01:46.948888,301,on_time,0,,125,7952
AA6541,United,LHR,DFW,2025-05-02 00:17:20.278640,2025-05-02 02:48:20.278640,2025-05-02 02:52:20.278640,151,on_time,0,,154,13725
DL8242,Latam,LHR,JFK,2025-05-02 04:52:44.795099,2025-05-02 14:03:44.795099,2025-05-02 14:15:44.795099,551,on_time,0,,72,15510
DL2595,Lufthansa,SFO,ATL,2025-05-04 13:05:48.234822,2025-05-04 18:05:48.234822,2025-05-04 21:40:48.234822,300,delayed,215,,251,26102
AA7961,United,INVALID,GRU,2025-05-04 01:40:36.092412,2025-05-04 03:02:36.092412,2025-05-04 03:02:36.092412,82,overbooked,0,,137,8835
UA4900,Delta,CDG,ATL,2025-05-06 00:35:49.381455,2025-05-06 02:49:49.381455,2025-05-06 02:44:49.381455,134,on_time,0,,197,24159
LA8067,United,JFK,ATL,2025-05-03 22:56:41.740949,2025-05-04 10:44:41.740949,2025-05-04 10:58:41.740949,708,on_time,0,,80,8787
DL4194,Emirates,ATL,GRU,2025-05-07 05:19:51.715853,2025-05-07 09:12:51.715853,2025-05-07 09:17:51.715853,233,on_time,0,,212,19423
UA5749,American,ATL,LHR,2025-05-03 08:25:13.259767,2025-05-03 10:32:13.259767,2025-05-03 15:09:13.259767,127,delayed,277,,103,18468
DL7146,United,ORD,GRU,2025-05-05 17:01:00.432498,2025-05-05 20:05:00.432498,2025-05-05 20:14:00.432498,184,on_time,0,,117,26258
LA2723,Emirates,LAX,DFW,2025-05-07 13:28:40.104206,2025-05-08 01:24:40.104206,2025-05-08 01:30:40.104206,716,on_time,0,,88,15315
UA4500,American,CDG,DFW,2025-05-02 20:58:33.786418,2025-05-03 00:55:33.786418,2025-05-03 07:46:33.786418,237,delayed,411,,105,23190
LA4829,Lufthansa,JFK,CDG,2025-05-02 19:23:51.783766,2025-05-03 05:00:51.783766,2025-05-03 05:09:51.783766,577,on_time,0,,125,16610
LH9888,Latam,LAX,ATL,2025-05-07 05:57:03.429001,2025-05-07 12:51:03.429001,2025-05-07 15:19:03.429001,414,delayed,148,,177,14046
LA9210,American,GRU,ATL,2025-05-04 21:24:09.921936,2025-05-05 09:23:09.921936,2025-05-05 09:25:09.921936,719,on_time,0,,204,22035
DL4379,United,ATL,CDG,2025-05-08 00:53:28.714779,2025-05-08 08:28:28.714779,2025-05-08 08:28:28.714779,455,overbooked,0,,141,23337
UA5812,Emirates,SFO,LHR,2025-05-08 04:35:03.716768,2025-05-08 15:56:03.716768,2025-05-08 15:59:03.716768,-681,on_time,0,,149,23492
AA1931,Emirates,LHR,JFK,2025-05-06 06:32:29.854708,2025-05-06 11:56:29.854708,2025-05-06 12:09:29.854708,324,on_time,0,,265,13392
LA7866,Lufthansa,CDG,DFW,2025-05-07 00:52:42.514665,2025-05-07 06:41:42.514665,2025-05-07 06:50:42.514665,349,on_time,0,,275,7773
LH9631,Delta,SFO,DFW,2025-05-01 17:09:24.017383,2025-05-02 04:04:24.017383,2025-05-02 04:18:24.017383,655,on_time,0,,86,11227
LA9840,Latam,GRU,SFO,2025-05-01 02:55:39.502957,2025-05-01 08:15:39.502957,2025-05-01 08:54:39.502957,320,delayed,39,,124,14372
LA3845,Lufthansa,CDG,GRU,2025-05-02 23:59:56.296434,2025-05-03 06:03:56.296434,2025-05-03 06:11:56.296434,364,on_time,0,,197,28563
EK4914,United,ATL,SFO,2025-05-01 13:40:30.073656,2025-05-01 21:16:30.073656,2025-05-01 21:24:30.073656,456,on_time,0,,142,20558
LH6905,Latam,SFO,ATL,2025-05-04 07:15:03.768603,2025-05-04 14:53:03.768603,2025-05-04 14:48:03.768603,458,on_time,0,,212,11748
AA2651,Delta,LHR,LAX,2025-05-03 14:32:32.604023,2025-05-03 16:57:32.604023,2025-05-03 17:07:32.604023,145,on_time,0,,255,16787
UA1696,Latam,GRU,LHR,2025-05-07 22:47:26.184845,2025-05-08 03:37:26.184845,2025-05-08 12:30:26.184845,290,delayed,533,,109,5352
EK2920,Lufthansa,CDG,JFK,2025-05-07 07:29:48.863769,2025-05-07 17:31:48.863769,2025-05-07 17:38:48.863769,602,on_time,0,,249,25364
LH9385,Latam,LAX,SFO,2025-05-04 05:44:34.072201,2025-05-04 16:38:34.072201,2025-05-04 16:50:34.072201,654,on_time,0,,75,25069
LA3377,United,DFW,SFO,2025-05-07 13:18:18.112868,2025-05-07 19:52:18.112868,2025-05-07 19:50:18.112868,394,on_time,0,,130,9141
AA5393,American,GRU,DFW,2025-05-06 00:14:14.008291,2025-05-06 06:36:14.008291,2025-05-06 06:51:14.008291,382,on_time,0,,108,18605
LH4351,Delta,CDG,DFW,2025-05-08 00:47:11.801552,2025-05-08 11:21:11.801552,2025-05-08 11:34:11.801552,634,on_time,0,,104,18665
LA8774,American,ORD,LAX,2025-05-07 02:23:04.785945,2025-05-07 09:15:04.785945,2025-05-07 09:14:04.785945,412,on_time,0,,224,24978
AA2528,Lufthansa,DFW,LAX,2025-05-03 08:39:39.266436,2025-05-03 19:44:39.266436,2025-05-03 19:50:39.266436,665,on_time,0,,253,9465
UA5625,Emirates,DFW,ORD,2025-05-06 07:09:54.956296,2025-05-06 10:52:54.956296,2025-05-06 14:15:54.956296,223,diverted,0,,98,29497
UA3250,Delta,SFO,GRU,2025-05-03 18:34:50.729218,2025-05-04 02:06:50.729218,2025-05-04 02:12:50.729218,452,on_time,0,,248,24099
LA8970,Latam,ORD,LHR,2025-05-01 11:08:55.307783,2025-05-01 22:24:55.307783,2025-05-01 22:26:55.307783,676,on_time,0,,288,10936
LA326,Delta,GRU,ORD,2025-05-04 06:03:38.769415,2025-05-04 14:44:38.769415,2025-05-04 22:35:38.769415,521,delayed,471,,184,6982
AA1532,Emirates,ORD,SFO,2025-05-08 01:46:51.728499,2025-05-08 09:45:51.728499,2025-05-08 09:59:51.728499,479,on_time,0,,195,28140
LA9865,Delta,ORD,CDG,2025-05-06 23:36:03.227703,2025-05-07 09:37:03.227703,2025-05-07 09:34:03.227703,601,on_time,0,,224,7609
EK5580,Delta,LAX,GRU,2025-05-08 05:24:16.469083,2025-05-08 14:16:16.469083,2025-05-08 14:27:16.469083,532,on_time,0,,226,9983
EK8316,American,LHR,LAX,2025-05-03 06:26:36.773205,2025-05-03 09:24:36.773205,2025-05-03 09:24:36.773205,178,overbooked,0,,253,9628
DL540,American,JFK,ATL,2025-05-04 03:38:55.973731,2025-05-04 07:24:55.973731,2025-05-04 07:24:55.973731,226,on_time,0,,296,19856
EK7774,Latam,SFO,GRU,2025-05-04 15:06:26.040520,2025-05-04 19:43:26.040520,2025-05-04 19:57:26.040520,277,on_time,0,,241,16716
LH5683,Delta,LHR,ORD,2025-05-05 07:24:15.751437,2025-05-05 15:54:15.751437,2025-05-05 16:00:15.751437,510,on_time,0,,65,11376
AA9117,Lufthansa,CDG,LAX,2025-05-06 07:35:19.307782,2025-05-06 16:55:19.307782,2025-05-06 17:00:19.307782,560,on_time,0,,113,12346
AA3434,Delta,LAX,CDG,2025-05-07 00:34:16.023908,2025-05-07 06:19:16.023908,2025-05-07 08:00:16.023908,345,delayed,101,,87,28487
UA4735,Delta,SFO,LHR,2025-05-07 22:13:13.061550,2025-05-08 02:14:13.061550,2025-05-08 02:25:13.061550,241,on_time,0,,204,13022
LH5613,Delta,ATL,LAX,2025-05-05 20:39:35.984042,2025-05-06 04:50:35.984042,2025-05-06 04:55:35.984042,491,on_time,0,,250,22132
UA8153,United,LAX,LHR,2025-05-05 15:55:29.390491,2025-05-06 01:46:29.390491,2025-05-06 01:50:29.390491,591,on_time,0,,169,29579
AA3128,Latam,SFO,DFW,2025-05-03 18:19:59.825719,2025-05-04 03:51:59.825719,2025-05-04 04:05:59.825719,572,on_time,0,,96,15590
DL5762,Lufthansa,LAX,DFW,2025-05-04 07:56:15.559195,2025-05-04 13:39:15.559195,2025-05-04 20:44:15.559195,343,delayed,425,,130,28004
AA420,American,LHR,SFO,2025-05-03 06:57:10.761304,2025-05-03 17:49:10.761304,2025-05-03 17:51:10.761304,652,on_time,0,,152,25046
LA2423,Emirates,ORD,SFO,2025-05-04 07:23:57.777001,2025-05-04 10:48:57.777001,2025-05-04 10:54:57.777001,205,on_time,0,,112,6353
EK9896,American,JFK,ATL,2025-05-06 15:48:04.474638,2025-05-07 03:18:04.474638,2025-05-07 03:29:04.474638,690,on_time,0,,82,9999
EK6187,Emirates,GRU,LHR,2025-05-01 11:25:01.503716,2025-05-01 15:03:01.503716,2025-05-01 15:06:01.503716,218,on_time,0,,121,17804
DL1648,Delta,LHR,CDG,2025-05-05 00:50:46.017680,2025-05-05 12:45:46.017680,2025-05-05 12:53:46.017680,715,on_time,0,,300,22047
UA7145,Delta,ATL,ORD,2025-05-03 00:09:40.859720,2025-05-03 07:24:40.859720,2025-05-03 07:23:40.859720,435,on_time,0,,170,26286
LA1468,Lufthansa,JFK,SFO,2025-05-03 02:51:37.930904,2025-05-03 08:19:37.930904,2025-05-03 08:25:37.930904,328,on_time,0,,114,23841
EK8104,United,LHR,SFO,2025-05-01 09:41:08.915653,2025-05-01 15:57:08.915653,2025-05-01 16:10:08.915653,376,on_time,0,,209,17095
DL9028,Latam,ORD,ATL,2025-05-05 22:16:40.493551,2025-05-05 23:29:40.493551,2025-05-05 23:44:40.493551,73,on_time,0,,103,24023
DL2268,Delta,JFK,DFW,2025-05-05 14:42:21.700200,2025-05-06 02:27:21.700200,2025-05-06 02:34:21.700200,705,on_time,0,,262,10159
EK6386,American,CDG,LHR,2025-05-04 14:48:21.562442,2025-05-04 18:13:21.562442,2025-05-04 18:20:21.562442,205,on_time,0,,276,29698
EK1589,Lufthansa,JFK,DFW,2025-05-05 05:45:53.772805,2025-05-05 10:44:53.772805,2025-05-05 16:39:53.772805,299,delayed,355,,225,5275
EK6320,Latam,JFK,DFW,2025-05-05 15:24:10.152381,2025-05-05 20:06:10.152381,2025-05-05 21:31:10.152381,282,delayed,85,,289,5411
LA1345,United,DFW,LHR,2025-05-01 14:09:38.279595,2025-05-01 18:33:38.279595,2025-05-01 18:44:38.279595,264,on_time,0,,215,25044
AA3146,Delta,ATL,ORD,2025-05-02 19:13:18.368305,2025-05-03 04:56:18.368305,2025-05-03 05:08:18.368305,583,on_time,0,,167,5527
UA6734,United,LAX,JFK,2025-05-06 12:49:23.026652,2025-05-06 15:45:23.026652,2025-05-06 15:40:23.026652,176,on_time,0,,136,24757
AA4612,American,DFW,LHR,2025-05-03 16:51:31.426076,2025-05-04 02:31:31.426076,2025-05-04 02:43:31.426076,580,on_time,0,,130,20321
DL9825,United,GRU,ORD,2025-05-02 19:05:00.530248,2025-05-02 20:11:00.530248,2025-05-02 21:32:00.530248,66,diverted,0,,153,15939
DL506,American,LAX,LHR,2025-05-03 20:51:03.015200,2025-05-04 07:33:03.015200,2025-05-04 07:39:03.015200,-642,on_time,0,,225,18842
AA1050,United,LAX,JFK,2025-05-03 00:01:34.695648,2025-05-03 03:46:34.695648,2025-05-03 03:42:34.695648,225,on_time,0,,225,13125
DL4871,United,LHR,CDG,2025-05-03 20:16:00.760677,2025-05-04 05:17:00.760677,2025-05-04 05:29:00.760677,541,on_time,0,,83,20270
EK2213,Lufthansa,CDG,GRU,2025-05-02 04:22:02.111837,2025-05-02 08:30:02.111837,2025-05-02 08:29:02.111837,248,on_time,0,,141,7988
DL8954,Latam,SFO,CDG,2025-05-05 19:31:52.034482,2025-05-06 00:27:52.034482,2025-05-06 00:41:52.034482,296,on_time,0,,172,19270
LA6842,United,ATL,JFK,2025-05-04 14:22:46.246029,2025-05-04 18:52:46.246029,2025-05-04 18:58:46.246029,270,on_time,0,,280,20174
LH6970,United,DFW,ORD,2025-05-04 01:14:19.625884,2025-05-04 02:23:19.625884,2025-05-04 04:47:19.625884,69,diverted,0,,101,6458
DL836,Delta,ORD,SFO,2025-05-07 04:32:40.735568,2025-05-07 10:30:40.735568,2025-05-07 10:37:40.735568,358,on_time,0,,208,26004
LA5358,Lufthansa,ATL,JFK,2025-05-06 21:35:49.297942,2025-05-06 23:46:49.297942,2025-05-06 23:41:49.297942,131,on_time,0,,114,15554
LH8855,Delta,SFO,ATL,2025-05-05 16:46:43.136948,2025-05-05 18:17:43.136948,2025-05-05 18:31:43.136948,91,on_time,0,,250,8045
LH6206,Latam,SFO,DFW,2025-05-05 10:29:44.976397,2025-05-05 14:18:44.976397,2025-05-05 14:15:44.976397,229,on_time,0,,190,19167
UA9292,Latam,CDG,GRU,2025-05-06 21:01:15.419596,2025-05-07 06:26:15.419596,2025-05-07 06:41:15.419596,565,on_time,0,,71,23530
AA8978,United,JFK,LHR,2025-05-01 10:21:51.307573,2025-05-01 11:31:51.307573,2025-05-01 12:24:51.307573,-70,diverted,0,,79,16961
LH768,Delta,LHR,DFW,2025-05-01 00:01:20.650899,2025-05-01 10:48:20.650899,2025-05-01 10:44:20.650899,647,on_time,0,,53,8539
LH2102,Lufthansa,LAX,GRU,2025-05-04 16:20:53.535125,2025-05-05 03:13:53.535125,2025-05-05 03:11:53.535125,653,on_time,0,,69,26236
EK5779,Latam,LHR,ORD,2025-05-03 06:14:08.414143,2025-05-03 15:12:08.414143,2025-05-03 15:08:08.414143,538,on_time,0,,96,11321
AA5270,United,ORD,JFK,2025-05-07 10:48:40.935745,2025-05-07 19:06:40.935745,2025-05-07 19:16:40.935745,498,on_time,0,,97,8745
EK9282,American,DFW,LHR,2025-05-01 10:22:22.577658,2025-05-01 21:27:22.577658,2025-05-02 00:05:22.577658,665,diverted,0,,84,7806
LA5547,Delta,LAX,SFO,2025-05-02 23:59:28.097932,2025-05-03 05:57:28.097932,2025-05-03 06:02:28.097932,358,on_time,0,,120,20296
LA2543,United,SFO,JFK,2025-05-04 11:56:16.572093,2025-05-04 13:32:16.572093,,96,canceled,0,mechanical,0,0
AA8158,Lufthansa,SFO,ORD,2025-05-07 09:38:22.757700,2025-05-07 17:47:22.757700,,489,canceled,0,weather,0,0
LA1677,Lufthansa,CDG,GRU,2025-05-01 14:50:38.844454,2025-05-01 18:42:38.844454,2025-05-01 18:54:38.844454,232,on_time,0,,121,26272
UA4296,Lufthansa,JFK,DFW,2025-05-05 16:15:47.142294,2025-05-05 16:47:47.142294,2025-05-05 17:02:47.142294,32,on_time,0,,235,17581
UA6917,American,ATL,GRU,2025-05-06 05:11:58.705858,2025-05-06 17:11:58.705858,2025-05-06 17:19:58.705858,720,on_time,0,,126,18978
EK7400,Emirates,ORD,LHR,2025-05-06 09:22:29.195308,2025-05-06 21:04:29.195308,2025-05-06 21:02:29.195308,702,on_time,0,,288,15641
AA6171,American,INVALID,ATL,2025-05-07 17:45:02.667584,2025-05-08 01:50:02.667584,2025-05-08 01:52:02.667584,485,on_time,0,,125,6970
LA3113,Latam,GRU,ORD,2025-05-01 01:14:45.705402,2025-05-01 03:55:45.705402,2025-05-01 03:59:45.705402,161,on_time,0,,184,15941
LA6577,Latam,CDG,LAX,2025-05-06 11:27:08.101470,2025-05-06 14:41:08.101470,2025-05-06 14:51:08.101470,194,on_time,0,,65,10861
AA8118,Lufthansa,GRU,LAX,2025-05-04 07:05:28.059546,2025-05-04 08:20:28.059546,2025-05-04 10:03:28.059546,75,delayed,103,,187,13503
